file,measure,pitch,fingering,part,midi,has_annotation,interval,abs_interval,measure_position,measure_length,measure_position_norm,hand_encoding,prev_fingering,next_fingering,is_black_key,is_step_motion,is_large_jump,octave,is_high_register,is_low_register,is_ascending,is_descending
annotated_Piano7_candace_page2,10,A3,3.0,P1,57,True,-3.0,3.0,9,10,0.9,0,1.0,1.0,0,0,0,4,0,1,0,1
annotated_Piano7_candace_page2,11,A#4,1.0,P1,70,True,13.0,13.0,0,7,0.0,0,3.0,4.0,1,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,11,D5,4.0,P1,74,True,4.0,4.0,1,7,0.14285714285714285,0,1.0,1.0,0,0,0,6,1,0,1,0
annotated_Piano7_candace_page2,11,A4,1.0,P1,69,True,-5.0,5.0,2,7,0.2857142857142857,0,4.0,3.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,11,C5,3.0,P1,72,True,3.0,3.0,3,7,0.42857142857142855,0,1.0,5.0,0,0,0,6,0,0,1,0
annotated_Piano7_candace_page2,11,A#3,5.0,P1,58,True,-14.0,14.0,4,7,0.5714285714285714,0,3.0,1.0,1,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,11,F4,1.0,P1,65,True,7.0,7.0,5,7,0.7142857142857143,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,11,D4,3.0,P1,62,True,-3.0,3.0,6,7,0.8571428571428571,0,1.0,1.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,12,A4,1.0,P1,69,True,7.0,7.0,0,6,0.0,0,3.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,12,A#4,1.0,P1,70,True,1.0,1.0,1,6,0.16666666666666666,0,1.0,3.0,1,1,0,5,0,0,1,0
annotated_Piano7_candace_page2,12,C5,3.0,P1,72,True,2.0,2.0,2,6,0.3333333333333333,0,1.0,5.0,0,1,0,6,0,0,1,0
annotated_Piano7_candace_page2,12,A#3,5.0,P1,58,True,-14.0,14.0,3,6,0.5,0,3.0,1.0,1,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,12,F4,1.0,P1,65,True,7.0,7.0,4,6,0.6666666666666666,0,5.0,3.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,12,D4,3.0,P1,62,True,-3.0,3.0,5,6,0.8333333333333334,0,1.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,13,E5,5.0,P1,76,True,14.0,14.0,0,8,0.0,0,3.0,4.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,13,D#5,4.0,P1,75,True,-1.0,1.0,1,8,0.125,0,5.0,3.0,1,1,0,6,1,0,0,1
annotated_Piano7_candace_page2,13,C#5,3.0,P1,73,True,-2.0,2.0,2,8,0.25,0,4.0,1.0,1,1,0,6,1,0,0,1
annotated_Piano7_candace_page2,13,A4,1.0,P1,69,True,-4.0,4.0,3,8,0.375,0,3.0,5.0,0,0,0,5,0,0,0,1
annotated_Piano7_candace_page2,13,A3,5.0,P1,57,True,-12.0,12.0,4,8,0.5,0,1.0,1.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,13,E4,1.0,P1,64,True,7.0,7.0,5,8,0.625,0,5.0,1.0,0,0,0,5,0,0,1,0
annotated_Piano7_candace_page2,13,E3,1.0,P1,52,True,-12.0,12.0,6,8,0.75,0,1.0,3.0,0,0,1,4,0,1,0,1
annotated_Piano7_candace_page2,13,C#4,3.0,P1,61,True,9.0,9.0,7,8,0.875,0,1.0,5.0,1,0,1,5,0,0,1,0
annotated_Piano7_candace_page2,14,E5,5.0,P1,76,True,15.0,15.0,0,8,0.0,0,3.0,4.0,0,0,1,6,1,0,1,0
annotated_Piano7_candace_page2,14,D#5,4.0,P1,75,True,-1.0,1.0,1,8,0.125,0,5.0,3.0,1,1,0,6,1,0,0,1
annotated_Piano7_candace_page2,14,C#5,3.0,P1,73,True,-2.0,2.0,2,8,0.25,0,4.0,1.0,1,1,0,6,1,0,0,1
annotated_Piano7_candace_page2,14,A4,1.0,P1,69,True,-4.0,4.0,3,8,0.375,0,3.0,5.0,0,0,0,5,0,0,0,1
